timeindex,ashp_NDE,gshp_NDE,chp_NDE,tes_NDE,dhw_NDE,space_NDE,excess_heat_NDE
2050-01-02 23:00:00+00:00,0.0,7303.7951,12991.292,0.0,1134.5361580345257,19160.55143929442,0.0
2050-01-03 00:00:00+00:00,0.0,5695.7116,14273.72,0.0,779.8689492898342,19189.56307191156,0.0
2050-01-03 01:00:00+00:00,0.0,4622.2686,15888.593,0.0,897.7287067970174,19613.132908121905,0.0
2050-01-03 02:00:00+00:00,0.0,3596.2939,17407.584,0.0,867.6291379567214,20136.24890875001,0.0
2050-01-03 03:00:00+00:00,0.0,3512.671,18928.733,0.0,980.9558278674733,21460.448615019166,0.0
2050-01-03 04:00:00+00:00,0.0,4837.9964,20637.662,0.0,1661.6412581474176,23814.017311085587,0.0
2050-01-03 05:00:00+00:00,0.0,10691.899,21127.143,1800.0,3495.9017303668834,30123.14079179689,0.0
2050-01-03 06:00:00+00:00,0.0,16878.63,21127.143,1800.0,4558.8154203778295,35246.957757393735,0.0
2050-01-03 07:00:00+00:00,0.0,15494.05,21127.143,1800.0,4299.52395386201,34121.669057256,0.0
2050-01-03 08:00:00+00:00,0.0,15054.705,21127.143,1800.0,3316.029608140551,34665.81849153145,0.0
2050-01-03 09:00:00+00:00,0.0,13885.355,21127.143,1800.0,3190.7356197752138,33621.76236272168,0.0
2050-01-03 10:00:00+00:00,0.0,12336.315,21127.143,1800.0,2968.7966302539935,32294.661493190753,0.0
2050-01-03 11:00:00+00:00,0.0,11439.153,21127.143,1206.5076,2935.0706073365677,30837.7335676982,0.0
2050-01-03 12:00:00+00:00,0.0,10082.655,21127.143,1800.0,2845.3158689272436,30164.48236827635,0.0
2050-01-03 13:00:00+00:00,0.0,9701.1519,21127.143,1800.0,2364.9920264095085,30263.303241878602,0.0
2050-01-03 14:00:00+00:00,0.0,9886.2824,21127.143,1800.0,2297.1773351669103,30516.24841375935,0.0
2050-01-03 15:00:00+00:00,0.0,10176.036,21127.143,1800.0,2095.5464884777034,31007.63294121237,0.0
2050-01-03 16:00:00+00:00,0.0,11437.135,21127.143,1800.0,2251.846659202617,32112.432175814265,0.0
2050-01-03 17:00:00+00:00,0.0,12364.782,21127.143,1800.0,2545.408116747419,32746.517671202913,0.0
2050-01-03 18:00:00+00:00,0.0,12478.834,21127.143,1800.0,2538.336531297008,32867.64123737951,0.0
2050-01-03 19:00:00+00:00,0.0,11976.933,21127.143,1800.0,2708.2359048112075,32195.8406195886,0.0
2050-01-03 20:00:00+00:00,0.0,10483.378,21127.143,1800.0,2858.91507171653,30551.606341011528,0.0
2050-01-03 21:00:00+00:00,0.0,7512.9495,21127.143,1800.0,2551.7544113824206,27888.338466756886,0.0
2050-01-03 22:00:00+00:00,0.0,5526.5379,19418.933,0.0,1873.426176252631,23072.044806901904,0.0
2050-01-03 23:00:00+00:00,0.0,4185.9825,16700.942,0.0,1119.1237282066634,19767.801174512184,0.0
2050-01-04 00:00:00+00:00,0.0,6405.2671,14874.947,0.0,765.7257783889721,20514.48806899614,0.0
2050-01-04 01:00:00+00:00,0.0,9455.2669,12342.986,0.0,880.1404045228677,20918.112407782217,0.0
2050-01-04 02:00:00+00:00,0.0,12612.133,9677.8666,0.0,851.1287719057156,21438.871213260143,0.0
2050-01-04 03:00:00+00:00,0.0,17518.108,6212.5011,0.0,964.4554618164674,22766.153405494802,0.0
2050-01-04 04:00:00+00:00,4074.6434,17830.402,2912.5834,1800.0,1655.8389316239857,24961.790026501705,0.0
2050-01-04 05:00:00+00:00,12114.823,17830.402,3278.8875,1800.0,3483.027818393028,31541.084335960266,0.0
2050-01-04 06:00:00+00:00,14781.746,17830.402,7523.8043,1800.0,4568.244200978405,37367.7081017076,0.0
2050-01-04 07:00:00+00:00,14781.746,17830.402,5913.1147,1800.0,4302.969085235311,36022.29363908718,0.0
2050-01-04 08:00:00+00:00,14781.746,17830.402,5648.5649,1800.0,3363.354833847283,36697.35806554752,0.0
