timeindex,ashp_NDE,gshp_NDE,chp_NDE,tes_NDE,dhw_NDE,space_NDE,excess_heat_NDE,,,,
2050-01-03 00:00:00+00:00,0,3258.3692,16711.063,0,779.868949289834,19189.5630719116,0,,,,
2050-01-03 01:00:00+00:00,0,3799.7988,16711.063,0,897.728706797017,19613.1329081219,0,,,,
2050-01-03 02:00:00+00:00,0,4292.8152,16711.063,0,867.629137956721,20136.24890875,0,,,,
2050-01-03 03:00:00+00:00,0,5730.3416,16711.063,0,980.955827867473,21460.4486150192,0,,,,
2050-01-03 04:00:00+00:00,0,8764.5958,16711.063,0,1661.64125814742,23814.0173110856,0,,,,
2050-01-03 05:00:00+00:00,0,16907.98,16711.063,0,3495.90173036688,30123.1407917969,0,,,,
2050-01-03 06:00:00+00:00,4184.881,17559.829,16711.063,1350,4558.81542037783,35246.9577573937,0,,,,
2050-01-03 07:00:00+00:00,2800.3008,17559.829,16711.063,1350,4299.52395386201,34121.669057256,0,,,,
2050-01-03 08:00:00+00:00,2360.9559,17559.829,16711.063,1350,3316.02960814055,34665.8184915314,0,,,,
2050-01-03 09:00:00+00:00,1191.6058,17559.829,16711.063,1350,3190.73561977521,33621.7623627217,0,,,,
2050-01-03 10:00:00+00:00,0,17559.829,16711.063,992.56594,2968.79663025399,32294.6614931908,0,,,,
2050-01-03 11:00:00+00:00,0,17559.829,16711.063,-498.08801,2935.07060733657,30837.7335676982,0,,,,
2050-01-03 12:00:00+00:00,0,16298.735,16711.063,0,2845.31586892724,30164.4823682763,0,,,,
2050-01-03 13:00:00+00:00,0,15917.232,16711.063,0,2364.99202640951,30263.3032418786,0,,,,
2050-01-03 14:00:00+00:00,0,16102.363,16711.063,0,2297.17733516691,30516.2484137593,0,,,,
2050-01-03 15:00:00+00:00,0,16392.117,16711.063,0,2095.5464884777,31007.6329412124,0,,,,
2050-01-03 16:00:00+00:00,0,17559.829,16711.063,93.386655,2251.84665920262,32112.4321758143,0,,,,
2050-01-03 17:00:00+00:00,0,17559.829,16711.063,1021.0336,2545.40811674742,32746.5176712029,0,,,,
