timeindex,ashp_NDE,gshp_NDE,chp_NDE,tes_NDE,dhw_NDE,space_NDE,excess_heat_NDE,,,,,
2050-01-03 00:00:00+00:00,0,1661.2979,18308.134,0,779.868949289834,19189.5630719116,0,,,,,
2050-01-03 01:00:00+00:00,0,282.16928,20228.692,0,897.728706797017,19613.1329081219,0,,,,,
2050-01-03 02:00:00+00:00,0,0,21903.878,-900,867.629137956721,20136.24890875,0,,,,,
2050-01-03 03:00:00+00:00,0,0,23341.404,-900,980.955827867473,21460.4486150192,0,,,,,
2050-01-03 04:00:00+00:00,0,0,24797.873,677.78572,1661.64125814742,23814.0173110856,0,,,,,
2050-01-03 05:00:00+00:00,0,7921.1697,24797.873,900,3495.90173036688,30123.1407917969,0,,,,,
2050-01-03 06:00:00+00:00,0,14107.9,24797.873,900,4558.81542037783,35246.9577573937,0,,,,,
2050-01-03 07:00:00+00:00,0,12723.32,24797.873,900,4299.52395386201,34121.669057256,0,,,,,
2050-01-03 08:00:00+00:00,0,12283.975,24797.873,900,3316.02960814055,34665.8184915314,0,,,,,
2050-01-03 09:00:00+00:00,0,11114.625,24797.873,900,3190.73561977521,33621.7623627217,0,,,,,
2050-01-03 10:00:00+00:00,0,9565.5853,24797.873,900,2968.79663025399,32294.6614931908,0,,,,,
2050-01-03 11:00:00+00:00,0,8074.9313,24797.873,900,2935.07060733657,30837.7335676982,0,,,,,
2050-01-03 12:00:00+00:00,0,7311.9254,24797.873,900,2845.31586892724,30164.4823682763,0,,,,,
2050-01-03 13:00:00+00:00,0,6930.4224,24797.873,900,2364.99202640951,30263.3032418786,0,,,,,
2050-01-03 14:00:00+00:00,0,7115.5529,24797.873,900,2297.17733516691,30516.2484137593,0,,,,,
2050-01-03 15:00:00+00:00,0,7405.3066,24797.873,900,2095.5464884777,31007.6329412124,0,,,,,
2050-01-03 16:00:00+00:00,0,8666.406,24797.873,900,2251.84665920262,32112.4321758143,0,,,,,
2050-01-03 17:00:00+00:00,0,9594.0529,24797.873,900,2545.40811674742,32746.5176712029,0,,,,,
2050-01-03 18:00:00+00:00,0,9708.1049,24797.873,900,2538.33653129701,32867.6412373795,0,,,,,
2050-01-03 19:00:00+00:00,0,9206.2037,24797.873,900,2708.23590481121,32195.8406195886,0,,,,,
2050-01-03 20:00:00+00:00,0,7712.6486,24797.873,900,2858.91507171653,30551.6063410115,0,,,,,
2050-01-03 21:00:00+00:00,0,4742.22,24797.873,900,2551.75441138242,27888.3384667569,0,,,,,
2050-01-03 22:00:00+00:00,0,811.07482,24134.396,0,1873.42617625263,23072.0448069019,0,,,,,
2050-01-03 23:00:00+00:00,0,0,21183.809,-296.88401,1119.12372820666,19767.8011745122,0,,,,,
2050-01-04 00:00:00+00:00,0,2326.8925,18953.321,0,765.725778388972,20514.4880689961,0,,,,,
2050-01-04 01:00:00+00:00,0,5831.768,15966.485,0,880.140404522868,20918.1124077822,0,,,,,
2050-01-04 02:00:00+00:00,0,9468.5386,12821.461,0,851.128771905716,21438.8712132601,0,,,,,
2050-01-04 03:00:00+00:00,0,15181.775,8548.8335,0,964.455461816467,22766.1534054948,0,,,,,
2050-01-04 04:00:00+00:00,2768.8665,18646.874,4301.8882,900,1655.83893162399,24961.7900265017,0,,,,,
2050-01-04 05:00:00+00:00,11320.266,18646.874,4156.9716,900,3483.02781839303,31541.0843359603,0,,,,,
2050-01-04 06:00:00+00:00,14334.729,18646.874,8054.3494,900,4568.24420097841,37367.7081017076,0,,,,,
2050-01-04 07:00:00+00:00,14334.729,18646.874,6443.6598,900,4302.96908523531,36022.2936390872,0,,,,,
2050-01-04 08:00:00+00:00,14334.729,18646.874,6179.11,900,3363.35483384728,36697.3580655475,0,,,,,
2050-01-04 09:00:00+00:00,14334.729,18646.874,4569.1457,900,3236.79158655496,35213.9570252917,0,,,,,
2050-01-04 10:00:00+00:00,14334.729,18646.874,2957.3682,900,3014.85259703374,33824.1185002263,0,,,,,
2050-01-04 11:00:00+00:00,14334.729,18646.874,1534.3476,900,2975.142924889,32440.8075924997,0,,,,,
2050-01-04 12:00:00+00:00,14334.729,18646.874,639.5201,900,2881.94305510639,31639.179918747,0,,,,,
2050-01-04 13:00:00+00:00,14334.729,18646.874,131.09123,900,2390.92117306109,31621.7729391768,0,,,,,
2050-01-04 14:00:00+00:00,14334.729,18646.874,458.19739,900,2299.53453031705,32040.2657396792,0,,,,,
2050-01-04 15:00:00+00:00,14334.729,18646.874,986.39043,900,2089.74416195428,32778.2491443779,0,,,,,
2050-01-04 16:00:00+00:00,14334.729,18646.874,2258.1879,900,2230.63190285132,33909.1588483354,0,,,,,
2050-01-04 17:00:00+00:00,14334.729,18646.874,2990.7316,900,2532.35288206971,34339.9815927,0,,,,,
2050-01-04 18:00:00+00:00,14334.729,18646.874,2809.2276,900,2530.17700962342,34160.6534385853,0,,,,,
2050-01-04 19:00:00+00:00,14334.729,18646.874,2388.3776,900,2693.91141120647,33576.0690413496,0,,,,,
