timeindex,acaes_NDE,li-ion_NDE,li-ion_SDE,phs_NDE,phs_SDE,tes_NDE,tes_SDE
2050-01-03 05:00:00+00:00,0.0,17093.0,0.0,-5.6843419e-14,174043.12,54332.865,170004.48
2050-01-03 06:00:00+00:00,0.0,17093.0,5085.5181,0.0,174043.12,53332.865,165448.92
2050-01-03 07:00:00+00:00,0.0,17093.0,5085.5181,0.17,167402.93,52332.865,165448.92
2050-01-03 08:00:00+00:00,0.0,17093.0,5085.5181,15.866667,167323.47,51332.865,165448.92
2050-01-03 09:00:00+00:00,0.0,17093.0,7099.5072,55.76,168288.77,50332.865,160893.37
2050-01-03 10:00:00+00:00,0.0,17093.0,10935.196,112.65333,169665.42,49332.865,156337.81
2050-01-03 11:00:00+00:00,0.0,17093.0,13047.825,172.89,171122.97,48332.865,151782.26
2050-01-03 12:00:00+00:00,0.0,17093.0,13047.825,216.63667,168098.32,47332.865,151782.26
2050-01-03 13:00:00+00:00,0.0,14156.075,3240.3902,238.90667,159137.47,46332.865,151782.26
2050-01-03 14:00:00+00:00,0.0,11219.149,0.0,242.98667,149736.47,45332.865,151782.26
2050-01-03 15:00:00+00:00,0.0,8282.2239,0.0,0.0,149736.47,44332.865,151782.26
2050-01-03 16:00:00+00:00,0.0,8282.2239,0.0,0.0,140236.75,43332.865,151782.26
2050-01-03 17:00:00+00:00,0.0,5873.851,0.0,0.0,130737.03,42332.865,151782.26
2050-01-03 18:00:00+00:00,0.0,2936.9255,0.0,0.0,121237.31,41332.865,151782.26
2050-01-03 19:00:00+00:00,0.0,2936.9255,0.0,0.0,111737.59,40332.865,151782.26
2050-01-03 20:00:00+00:00,0.0,0.0,0.0,0.0,102237.86,39332.865,151782.26
2050-01-03 21:00:00+00:00,0.0,0.0,0.0,0.0,92738.144,38332.865,151782.26
2050-01-03 22:00:00+00:00,0.0,0.0,0.0,0.0,83238.422,38332.865,151782.26
2050-01-03 23:00:00+00:00,0.0,0.0,0.0,0.0,73738.701,38600.061,151782.26
2050-01-04 00:00:00+00:00,0.0,0.0,0.0,0.0,64238.98,38600.061,151782.26
2050-01-04 01:00:00+00:00,0.0,0.0,0.0,0.0,54739.258,38600.061,151782.26
2050-01-04 02:00:00+00:00,0.0,0.0,0.0,0.0,45239.537,38600.061,151782.26
2050-01-04 03:00:00+00:00,0.0,0.0,0.0,0.0,35739.816,38600.061,151782.26
2050-01-04 04:00:00+00:00,0.0,0.0,0.0,0.0,26240.094,37600.061,151782.26
2050-01-04 05:00:00+00:00,0.0,0.0,0.0,0.0,16740.373,36600.061,151782.26
2050-01-04 06:00:00+00:00,0.0,0.0,12308.981,-0.0,16740.373,35600.061,147226.7
2050-01-04 07:00:00+00:00,0.0,0.0,14384.954,0.0,16740.373,34600.061,142671.15
2050-01-04 08:00:00+00:00,0.0,0.0,25264.492,9.2366667,16963.873,33600.061,138115.59
2050-01-04 09:00:00+00:00,0.0,0.0,37573.473,34.963333,17586.383,32600.061,133560.03
2050-01-04 10:00:00+00:00,0.0,0.0,49882.454,74.8,18550.313,31600.061,129004.48
2050-01-04 11:00:00+00:00,0.0,0.0,62191.436,120.36,19652.731,30600.061,124448.92
2050-01-04 12:00:00+00:00,0.0,0.0,74500.417,161.67,20652.312,29600.061,119893.37
2050-01-04 13:00:00+00:00,0.0,0.0,80291.715,189.04,21314.585,28600.061,115337.81
2050-01-04 14:00:00+00:00,0.0,0.0,68265.282,197.08667,21509.291,27600.061,115337.81
2050-01-04 15:00:00+00:00,0.0,0.0,54885.955,197.08667,21509.291,26600.061,115337.81
2050-01-04 16:00:00+00:00,0.0,0.0,41506.627,197.08667,21509.291,25600.061,115337.81
2050-01-04 17:00:00+00:00,0.0,0.0,30731.837,197.08667,21509.291,24600.061,115337.81
2050-01-04 18:00:00+00:00,0.0,0.0,20476.11,197.08667,21509.291,23600.061,115337.81
2050-01-04 19:00:00+00:00,0.0,0.0,13379.327,197.08667,21509.291,22600.061,115337.81
2050-01-04 20:00:00+00:00,0.0,0.0,0.0,197.08667,21509.291,21600.061,115337.81
2050-01-04 21:00:00+00:00,0.0,0.0,0.0,197.08667,18999.443,22410.061,115337.81
2050-01-04 22:00:00+00:00,0.0,0.0,0.0,197.08667,18999.443,23220.061,115337.81
2050-01-04 23:00:00+00:00,0.0,0.0,0.0,197.08667,18999.443,24030.061,115337.81
2050-01-05 00:00:00+00:00,0.0,0.0,0.0,197.08667,18999.443,24840.061,115337.81
2050-01-05 01:00:00+00:00,0.0,0.0,0.0,197.08667,18999.443,25650.061,115337.81
2050-01-05 02:00:00+00:00,0.0,0.0,0.0,197.08667,18999.443,26460.061,115337.81
2050-01-05 03:00:00+00:00,0.0,0.0,0.0,197.08667,9499.7213,27270.061,115337.81
2050-01-05 04:00:00+00:00,0.0,0.0,0.0,197.08667,0.0,28080.061,115337.81
2050-01-05 05:00:00+00:00,0.0,0.0,0.0,197.08667,0.0,27080.061,110782.26
2050-01-05 06:00:00+00:00,0.0,0.0,2653.4846,197.08667,0.0,26080.061,106226.7
2050-01-05 07:00:00+00:00,0.0,0.0,0.0,198.16333,26.052167,25080.061,101671.15
2050-01-05 08:00:00+00:00,0.0,0.0,0.0,228.82,767.85333,24080.061,97115.59
2050-01-05 09:00:00+00:00,0.0,0.0,12308.981,291.38,2281.6213,23080.061,92560.035
2050-01-05 10:00:00+00:00,0.0,0.0,24617.962,374.73667,4298.6075,22080.061,88004.479
2050-01-05 11:00:00+00:00,0.0,0.0,36926.944,460.30333,6369.0692,21080.061,83448.924
2050-01-05 12:00:00+00:00,0.0,0.0,49235.925,532.04333,8104.9662,20080.061,78893.368
2050-01-05 13:00:00+00:00,0.0,0.0,51140.134,575.96,9167.6203,19080.061,74337.812
2050-01-05 14:00:00+00:00,0.0,0.0,39156.77,588.42667,9469.277,18080.061,69782.257
2050-01-05 15:00:00+00:00,0.0,0.0,25777.443,588.42667,9469.277,17080.061,65226.701
2050-01-05 16:00:00+00:00,0.0,0.0,21783.558,588.42667,9469.277,16080.061,60671.146
2050-01-05 17:00:00+00:00,0.0,0.0,21882.269,588.42667,9469.277,15080.061,56115.59
2050-01-05 18:00:00+00:00,0.0,0.0,20924.698,588.42667,9469.277,14080.061,51560.035
2050-01-05 19:00:00+00:00,0.0,0.0,20795.093,588.42667,9469.277,13080.061,47004.479
2050-01-05 20:00:00+00:00,0.0,0.0,20126.056,588.42667,9469.277,12080.061,42448.924
2050-01-05 21:00:00+00:00,0.0,0.0,6752.2764,588.42667,9469.277,11088.931,37935.522
