timeindex,ashp_SDE,gshp_SDE,chp_SDE,tes_SDE,dhw_SDE,space_SDE,excess_heat_SDE
2050-01-02 00:00:00+00:00,0.0,87081.067,0.0,0.0,3648.8447089084857,83432.22192720858,0.0
2050-01-02 01:00:00+00:00,0.0,89292.314,0.0,0.0,4245.660457796598,85046.65355520239,0.0
2050-01-02 02:00:00+00:00,0.0,90092.162,0.0,0.0,4290.687709084451,85801.474022246,0.0
2050-01-02 03:00:00+00:00,0.0,96367.323,0.0,0.0,5580.10445050937,90787.21875575541,0.0
2050-01-02 04:00:00+00:00,0.0,111975.41,0.0,0.0,8733.649395251454,103241.75646197583,0.0
2050-01-02 05:00:00+00:00,5976.6147,124154.41,16905.807,4100.0,15789.829010706311,135347.005307512,0.0
2050-01-02 06:00:00+00:00,11372.144,124154.41,29609.595,4100.0,19117.752219526814,150118.39976181654,0.0
2050-01-02 07:00:00+00:00,13390.884,124154.41,18176.884,4100.0,18543.8594349307,141278.32231806664,0.0
2050-01-02 08:00:00+00:00,8701.838,124154.41,20639.947,4100.0,14279.369399322877,143316.82878546207,0.0
2050-01-02 09:00:00+00:00,10219.321,124154.41,13792.875,4100.0,13634.251689962335,138632.357296933,0.0
2050-01-02 10:00:00+00:00,11739.314,124154.41,6387.4111,4100.0,12780.37127008533,133600.76663483935,0.0
2050-01-02 11:00:00+00:00,11447.715,124154.41,2990.0496,4100.0,12516.757180727338,130175.42082777797,0.0
2050-01-02 12:00:00+00:00,6518.9134,124154.41,4030.9531,4100.0,12260.511187034626,126543.76834208835,0.0
2050-01-02 13:00:00+00:00,0.0,124154.41,8870.7594,4100.0,10352.174409725747,126772.99798500826,0.0
2050-01-02 14:00:00+00:00,0.0,124154.41,14861.904,0.0,10046.807778264538,128969.50917055963,0.0
2050-01-02 15:00:00+00:00,0.0,124154.41,17487.402,0.0,9147.081429803578,132494.7336077506,0.0
2050-01-02 16:00:00+00:00,0.0,124154.41,22404.652,553.15183,9933.01163410068,137179.20509627965,0.0
2050-01-02 17:00:00+00:00,0.0,124154.41,27524.697,388.56016,11242.076630633024,140825.59377329942,0.0
2050-01-02 18:00:00+00:00,0.0,124154.41,28288.212,0.0,11359.147483981462,141083.47712158447,0.0
2050-01-02 19:00:00+00:00,0.0,124154.41,26424.902,0.0,12019.820061968685,138559.49501757612,0.0
2050-01-02 20:00:00+00:00,0.0,124154.41,22139.945,0.0,12529.03734016953,133765.32077136388,0.0
2050-01-02 21:00:00+00:00,0.0,124154.41,9600.265,0.0,11590.833158789881,122163.84480772461,0.0
2050-01-02 22:00:00+00:00,0.0,107637.5,1590.42,0.0,8320.217360699338,100907.70749067306,0.0
2050-01-02 23:00:00+00:00,0.0,91632.912,0.0,0.0,5122.463841965541,86510.4485607058,0.0
2050-01-03 00:00:00+00:00,0.0,90162.568,0.0,0.0,3521.1310507102085,86641.4369280886,0.0
