timeindex,hydro_SDE,onshore_SDE,pv_SDE,chp_SDE,li-ion_SDE,phs_SDE,import,electricity_SDE,excess_SDE
2050-01-02 18:00:00+00:00,2266.2026,22420.186,0.0,28288.212,0.0,701.57201,32000.0,53841.70684205664,0.0
2050-01-02 19:00:00+00:00,2273.3031,22101.848,0.0,26424.902,0.0,1649.9915,32000.0,52615.580118505,0.0
2050-01-02 20:00:00+00:00,2280.4036,21832.326,0.0,22139.945,0.0,3778.7634,32000.0,50196.973465035524,0.0
2050-01-02 21:00:00+00:00,2287.5042,21719.117,0.0,9600.265,7755.197,8227.0,32000.0,49754.61782358711,0.0
2050-01-02 22:00:00+00:00,2294.6047,21322.363,0.0,1590.42,12833.0,8227.0,32000.0,50668.02785547324,0.0
2050-01-02 23:00:00+00:00,2301.7052,21230.965,0.0,0.0,8468.2994,8227.0,32000.0,48732.350809532625,0.0
2050-01-03 00:00:00+00:00,2308.8057,20093.156,0.0,0.0,6281.8653,8227.0,32000.0,45792.219710256104,0.0
2050-01-03 01:00:00+00:00,2316.9825,18783.455,0.0,0.0,6192.3875,8227.0,32000.0,43774.405123224744,0.0
2050-01-03 02:00:00+00:00,2325.1593,17938.018,0.0,0.0,6489.0811,8227.0,32000.0,42663.073215523305,0.0
2050-01-03 03:00:00+00:00,2333.3362,17200.078,0.0,0.0,8554.5177,8227.0,32000.0,42334.52269094218,0.0
2050-01-03 04:00:00+00:00,2341.513,16598.717,0.0,1019.5404,12833.0,8227.0,31623.192,43411.21828613549,0.0
2050-01-03 05:00:00+00:00,2349.6898,15797.421,0.0,27636.544,0.0,7311.3573,24565.319,45825.86650388992,0.0
2050-01-03 06:00:00+00:00,2357.8666,15168.536,0.0,51469.814,-6946.5025,0.0,20804.09,51019.339385417086,0.0
2050-01-03 07:00:00+00:00,2366.0434,14077.465,988.54172,49318.394,0.0,4065.3736,18952.391,57933.743815116046,0.0
2050-01-03 08:00:00+00:00,2374.2202,11993.992,12991.151,46030.866,0.0,0.0,20387.879,61943.64324708402,0.0
2050-01-03 09:00:00+00:00,2382.397,7795.3676,28278.52,37955.089,-3827.4432,0.0,23052.665,63802.13061646893,0.0
2050-01-03 10:00:00+00:00,2390.5739,4515.4034,40561.346,30961.129,-5768.4819,0.0,24648.077,65473.581808255316,0.0
2050-01-03 11:00:00+00:00,2398.7507,3708.3952,46687.191,24230.783,-3995.5492,0.0,25108.759,66303.8645100126,0.0
2050-01-03 12:00:00+00:00,2406.9275,3938.4497,42647.402,24885.789,0.0,1735.3402,22779.74,66559.18388380784,0.0
2050-01-03 13:00:00+00:00,2415.1043,4633.8062,29235.927,23163.292,9469.0232,8227.0,20368.744,65678.43103662692,0.0
2050-01-03 14:00:00+00:00,2423.2811,6160.0593,10897.31,33485.744,12833.0,8227.0,20026.828,64651.2159779284,0.0
2050-01-03 15:00:00+00:00,2431.4579,7700.8531,256.86517,50662.03,0.0,8227.0,20116.482,64061.40842597911,0.0
2050-01-03 16:00:00+00:00,2439.6347,7875.8607,0.0,48853.984,7193.9451,8227.0,17597.706,64931.275574943356,0.0
2050-01-03 17:00:00+00:00,2447.8115,7332.1428,0.0,58293.098,0.0,8227.0,18001.406,68390.95181211484,0.0
2050-01-03 18:00:00+00:00,2455.9884,7036.1359,0.0,54928.476,0.0,8227.0,22377.467,68119.79869545887,0.0
2050-01-03 19:00:00+00:00,2464.1652,7139.4786,0.0,53602.729,0.0,8227.0,21651.419,66420.63854372062,0.0
2050-01-03 20:00:00+00:00,2472.342,7427.1766,0.0,45344.014,0.0,8227.0,27103.232,63521.08141052488,0.0
2050-01-03 21:00:00+00:00,2480.5188,7703.4497,0.0,40704.841,0.0,8227.0,26830.59,61143.04881319097,0.0
2050-01-03 22:00:00+00:00,2488.6956,8120.9752,0.0,32175.377,0.0,8227.0,29897.33,60280.10892672849,0.0
2050-01-03 23:00:00+00:00,2496.8724,8536.9428,0.0,23010.098,0.0,8227.0,32000.0,55990.149987799225,0.0
2050-01-04 00:00:00+00:00,2505.0492,8758.6883,0.0,20994.312,0.0,8227.0,32000.0,53232.107111531695,0.0
2050-01-04 01:00:00+00:00,2515.3122,8779.98,0.0,19653.06,0.0,8227.0,32000.0,50978.76532928152,0.0
2050-01-04 02:00:00+00:00,2525.5752,8815.8124,0.0,18936.058,0.0,8227.0,32000.0,49554.716639859544,0.0
2050-01-04 03:00:00+00:00,2535.8381,8769.0745,0.0,19824.652,0.0,8227.0,32000.0,48966.8883958231,0.0
2050-01-04 04:00:00+00:00,2546.1011,8957.5841,0.0,22750.401,0.0,8227.0,32000.0,49499.29853984651,0.0
2050-01-04 05:00:00+00:00,2556.3641,9355.3759,0.0,33980.475,0.0,4927.9427,32000.0,50985.69259178328,0.0
2050-01-04 06:00:00+00:00,2566.6271,9828.4676,0.0,56722.054,-12133.694,0.0,32000.0,55250.91139754651,0.0
2050-01-04 07:00:00+00:00,2576.89,10289.615,1183.1366,49080.503,0.0,0.0,32000.0,61237.061751481866,0.0
2050-01-04 08:00:00+00:00,2587.153,9813.4076,15100.559,50433.232,-12833.0,0.0,32000.0,64315.73819084527,0.0
2050-01-04 09:00:00+00:00,2597.416,7116.629,36817.341,36325.739,-12833.0,0.0,32000.0,66265.26976178939,0.0
