timeindex,ashp_SDE,gshp_SDE,chp_SDE,tes_SDE,dhw_SDE,space_SDE,excess_heat_SDE
2050-01-03 00:00:00+00:00,0.0,96312.568,0.0,-6150.0,3521.1310507102085,86641.4369280886,0.0
2050-01-03 01:00:00+00:00,0.0,93515.041,0.0,-907.90309,4053.2712932030336,88553.86709187824,0.0
2050-01-03 02:00:00+00:00,0.0,94833.122,0.0,0.0,3917.3708620433276,90915.75109125015,0.0
2050-01-03 03:00:00+00:00,0.0,107286.54,187.05194,-6150.0,4429.044172132585,96894.55138498108,0.0
2050-01-03 04:00:00+00:00,0.0,115375.95,5797.3936,-6150.0,7502.358741852674,107520.9826889144,0.0
2050-01-03 05:00:00+00:00,0.0,117767.17,29939.85,4083.9415,15784.098269633274,136006.85920820304,0.0
2050-01-03 06:00:00+00:00,0.0,117767.17,55807.061,6150.0,20583.18457962245,159141.04224260605,0.0
2050-01-03 07:00:00+00:00,0.0,117767.17,49555.641,6150.0,19412.476046138258,154060.33094274407,0.0
2050-01-03 08:00:00+00:00,0.0,117767.17,47571.986,6150.0,14971.970391859675,156517.18150846855,0.0
2050-01-03 09:00:00+00:00,0.0,117767.17,42292.336,6150.0,14406.264380224959,151803.23763727833,0.0
2050-01-03 10:00:00+00:00,0.0,117767.17,35298.376,6150.0,13404.203369746157,145811.33850680926,0.0
2050-01-03 11:00:00+00:00,0.0,117767.17,28568.03,6150.0,13251.929392663566,139233.26643230172,0.0
2050-01-03 12:00:00+00:00,0.0,117767.17,25679.924,5593.112,12846.684131072936,136193.51763172366,0.0
2050-01-03 13:00:00+00:00,0.0,117767.17,35700.539,-6150.0,10678.007973590646,136639.6967581214,0.0
2050-01-03 14:00:00+00:00,0.0,115482.26,38821.314,-6150.0,10371.82266483322,137781.7515862408,0.0
2050-01-03 15:00:00+00:00,0.0,106894.35,48717.472,-6150.0,9461.45351152244,140000.3670587874,0.0
2050-01-03 16:00:00+00:00,0.0,104145.88,57159.839,-6150.0,10167.153340797553,144988.56782418577,0.0
2050-01-03 17:00:00+00:00,0.0,104687.4,60806.677,-6150.0,11492.5918832527,147851.4823287972,0.0
2050-01-03 18:00:00+00:00,0.0,105955.86,60053.163,-6150.0,11460.663468703127,148398.35876262054,0.0
2050-01-03 19:00:00+00:00,0.0,107030.3,56712.624,-6150.0,12227.76409518893,145365.15938041155,0.0
2050-01-03 20:00:00+00:00,0.0,105370.16,51629.314,-6150.0,12908.084928283628,137941.39365898835,0.0
2050-01-03 21:00:00+00:00,0.0,98368.136,45219.771,-6150.0,11521.245588617696,125916.66153324304,0.0
2050-01-03 22:00:00+00:00,0.0,81714.257,37065.272,-6150.0,8458.573823747474,104170.95519309798,0.0
2050-01-03 23:00:00+00:00,0.0,73128.873,27326.203,-6150.0,5052.876271793403,89252.19882548801,0.0
2050-01-04 00:00:00+00:00,0.0,78055.979,24174.807,-6150.0,3457.2742216110705,92623.51193100406,0.0
2050-01-04 01:00:00+00:00,0.0,83899.221,20670.526,-6150.0,3973.8595954771868,94445.88759221771,0.0
2050-01-04 02:00:00+00:00,0.0,88911.673,17878.327,-6150.0,3842.871228094331,96797.12878674001,0.0
2050-01-04 03:00:00+00:00,0.0,97498.252,15796.139,-6150.0,4354.544538183589,102789.84659450507,0.0
2050-01-04 04:00:00+00:00,0.0,108293.21,18036.166,-6150.0,7476.16106837611,112703.20997349845,0.0
2050-01-04 05:00:00+00:00,3193.6011,117767.17,31024.121,6150.0,15725.972181607161,142408.91566403955,0.0
2050-01-04 06:00:00+00:00,22578.449,117767.17,42846.433,6150.0,20625.75579902188,168716.2918982924,0.0
2050-01-04 07:00:00+00:00,14870.161,117767.17,43282.411,6150.0,19428.03091476494,162641.70636091288,0.0
2050-01-04 08:00:00+00:00,21462.261,117767.17,35495.861,6150.0,15185.645166152955,165689.64193445246,0.0
2050-01-04 09:00:00+00:00,25353.881,117767.17,24335.205,6150.0,14614.208413445203,158992.04297470814,0.0
2050-01-04 10:00:00+00:00,25353.881,117767.17,17057.982,6150.0,13612.147402966402,152716.88149977385,0.0
2050-01-04 11:00:00+00:00,25353.881,117767.17,10633.003,6150.0,13432.857075111153,146471.19240750032,0.0
2050-01-04 12:00:00+00:00,25353.881,117767.17,6592.8305,6150.0,13012.056944893748,142851.82008125278,0.0
2050-01-04 13:00:00+00:00,10440.315,117767.17,19210.825,6150.0,10795.078826939083,142773.22706082326,0.0
2050-01-04 14:00:00+00:00,0.0,117767.17,31128.034,6150.0,10382.465469683078,144662.7342603208,0.0
2050-01-04 15:00:00+00:00,0.0,117767.17,33512.841,6150.0,9435.25583804581,147994.7508556221,0.0
2050-01-04 16:00:00+00:00,0.0,117767.17,39255.044,6150.0,10071.368097148834,153100.8411516647,0.0
2050-01-04 17:00:00+00:00,0.0,117767.17,42562.5,6150.0,11433.647117930468,155046.01840730006,0.0
2050-01-04 18:00:00+00:00,0.0,117767.17,41743.004,6150.0,11423.822990376731,154236.34656141466,0.0
2050-01-04 19:00:00+00:00,0.0,117767.17,39842.854,6150.0,12163.08858879366,151596.9309586505,0.0
2050-01-04 20:00:00+00:00,0.0,117767.17,34047.437,6150.0,12758.266983089492,145206.3359849596,0.0
2050-01-04 21:00:00+00:00,0.0,117767.17,21240.87,4267.8592,11393.5319304194,131882.36299023585,0.0
2050-01-04 22:00:00+00:00,0.0,117767.17,6722.6375,-6150.0,8341.502970399053,109998.30018704249,0.0
2050-01-04 23:00:00+00:00,0.0,105285.62,711.08529,-6150.0,4962.003091921551,94884.69862295037,0.0
2050-01-05 00:00:00+00:00,0.0,111990.24,0.0,-6150.0,3446.6314167612118,102393.60678317213,0.0
2050-01-05 01:00:00+00:00,0.0,113662.8,0.0,-6150.0,3957.48604955433,103555.30986639872,0.0
2050-01-05 02:00:00+00:00,0.0,115925.62,0.0,-6150.0,3827.316359467623,105948.30360302428,0.0
2050-01-05 03:00:00+00:00,0.0,117767.17,0.0,-1397.1001,4338.989669556871,112031.0759133649,0.0
2050-01-05 04:00:00+00:00,0.0,117767.17,9246.6719,1498.0309,7454.875458676393,121056.99310333941,0.0
2050-01-05 05:00:00+00:00,16981.666,117767.17,26262.793,6150.0,15688.313025984644,151473.3106869328,0.0
2050-01-05 06:00:00+00:00,25353.881,117767.17,54225.113,6150.0,20588.915320695487,182907.24414963188,0.0
2050-01-05 07:00:00+00:00,25353.881,117767.17,44785.764,6150.0,19391.19043643854,174665.61980936216,0.0
2050-01-05 08:00:00+00:00,25353.881,117767.17,43658.445,6150.0,15153.71675160338,177775.7748574086,0.0
2050-01-05 09:00:00+00:00,25353.881,117767.17,35435.65,6150.0,14588.010739968664,170118.68610658497,0.0
2050-01-05 10:00:00+00:00,25353.881,117767.17,28014.341,6150.0,13585.131052193743,163700.25610482533,0.0
2050-01-05 11:00:00+00:00,25353.881,117767.17,21317.56,6150.0,13406.659401634615,157181.94747293656,0.0
2050-01-05 12:00:00+00:00,25353.881,117767.17,16925.357,6150.0,12985.040594121092,153211.3625866439,0.0
2050-01-05 13:00:00+00:00,25353.881,117767.17,14148.403,6150.0,10773.793217239367,152645.6565750094,0.0
2050-01-05 14:00:00+00:00,25353.881,117767.17,15400.98,6150.0,10366.091923760185,154305.93413158704,0.0
2050-01-05 15:00:00+00:00,25353.881,117767.17,18457.102,6150.0,9413.970228346094,158314.178173502,0.0
2050-01-05 16:00:00+00:00,25353.881,117767.17,24474.38,6150.0,10060.725292298976,163684.70123619874,0.0
2050-01-05 17:00:00+00:00,25353.881,117767.17,28101.12,6150.0,11418.092249303694,165954.07470110658,0.0
2050-01-05 18:00:00+00:00,25353.881,117767.17,26492.42,6150.0,11407.449444453836,164356.01661903583,0.0
2050-01-05 19:00:00+00:00,25353.881,117767.17,24766.648,6150.0,12141.802979093945,161895.89134412684,0.0
2050-01-05 20:00:00+00:00,25353.881,117767.17,18617.563,6150.0,12742.712114462814,155145.8970374292,0.0
2050-01-05 21:00:00+00:00,25353.881,117767.17,3669.3339,6150.0,11377.158384496599,141563.22201712435,0.0
2050-01-05 22:00:00+00:00,17256.558,117767.17,0.0,-6150.0,8325.948101772337,120547.77582513877,0.0
2050-01-05 23:00:00+00:00,0.0,115576.04,0.0,-6150.0,4946.448223294833,104479.59653374385,0.0
2050-01-06 00:00:00+00:00,0.0,96561.446,0.0,-6150.0,3457.2742216110705,86954.17165521503,0.0
2050-01-06 01:00:00+00:00,0.0,99091.159,0.0,-6150.0,3973.8595954771868,88967.29912643028,0.0
2050-01-06 02:00:00+00:00,0.0,101246.74,0.0,-6150.0,3842.871228094331,91253.86481455676,0.0
2050-01-06 03:00:00+00:00,0.0,107634.87,0.0,-6150.0,4354.544538183589,97130.33044627005,0.0
2050-01-06 04:00:00+00:00,2997.6558,117767.17,0.0,-6150.0,7476.16106837611,107138.66039161557,0.0
2050-01-06 05:00:00+00:00,25353.881,117767.17,2449.5047,6150.0,15725.972181607161,135994.57904876093,0.0
2050-01-06 06:00:00+00:00,25353.881,117767.17,31227.649,6150.0,20625.75579902188,159872.939745358,0.0
2050-01-06 07:00:00+00:00,25353.881,117767.17,24920.559,6150.0,19428.03091476494,154763.57474013083,0.0
2050-01-06 08:00:00+00:00,25353.881,117767.17,23564.83,6150.0,15185.645166152955,157650.23088633042,0.0
2050-01-06 09:00:00+00:00,25353.881,117767.17,16773.901,6150.0,14614.208413445203,151430.73946753354,0.0
2050-01-06 10:00:00+00:00,25353.881,117767.17,9693.1614,6150.0,13612.147402966402,145352.060543673,0.0
2050-01-06 11:00:00+00:00,25353.881,117767.17,3478.5821,6150.0,13432.857075111153,139316.77151650822,0.0
2050-01-06 12:00:00+00:00,25353.881,117767.17,0.0,5821.7326,13012.056944893748,135930.72221966158,0.0
2050-01-06 13:00:00+00:00,25353.881,117767.17,0.0,3781.5888,10795.078826939083,136107.55651562865,0.0
2050-01-06 14:00:00+00:00,24498.385,117767.17,0.0,6150.0,10382.465469683078,138033.08551615637,0.0
2050-01-06 15:00:00+00:00,25353.881,117767.17,1283.7082,6150.0,9435.25583804581,141119.4989226147,0.0
2050-01-06 16:00:00+00:00,25353.881,117767.17,6799.1372,6150.0,10071.368097148834,145998.81560762593,0.0
2050-01-06 17:00:00+00:00,25353.881,117767.17,10000.165,6150.0,11433.647117930468,147837.56481476265,0.0
2050-01-06 18:00:00+00:00,25353.881,117767.17,9502.4096,6150.0,11423.822990376731,147349.63314626165,0.0
2050-01-06 19:00:00+00:00,25353.881,117767.17,7595.7102,6150.0,12163.08858879366,144703.66812512802,0.0
2050-01-06 20:00:00+00:00,25353.881,117767.17,2065.5451,6150.0,12758.266983089492,138578.32459538768,0.0
2050-01-06 21:00:00+00:00,25353.881,117767.17,0.0,-6091.6594,11393.5319304194,125635.85522066627,0.0
2050-01-06 22:00:00+00:00,504.7834,117767.17,0.0,-6150.0,8341.502970399053,103780.44612283807,0.0
2050-01-06 23:00:00+00:00,0.0,100391.22,0.0,-6150.0,4962.003091921551,89279.21517626068,0.0
2050-01-07 00:00:00+00:00,25353.881,50253.52,0.0,-6150.0,3579.2571387363478,65878.14334331502,0.0
2050-01-07 01:00:00+00:00,0.0,78513.705,0.0,-6150.0,3978.7716592540364,68384.93322410386,0.0
2050-01-07 02:00:00+00:00,11054.98,69374.43,0.0,-6150.0,3827.316359467623,70452.09339686445,0.0
2050-01-07 03:00:00+00:00,0.0,85687.774,0.0,-6150.0,4290.687709084451,75247.08632037314,0.0
2050-01-07 04:00:00+00:00,0.0,98732.578,0.0,-6150.0,7268.217035155836,85314.36103104103,0.0
2050-01-07 05:00:00+00:00,0.0,117767.17,2651.163,6150.0,15437.797773364873,111130.5308876079,0.0
2050-01-07 06:00:00+00:00,2263.6709,117767.17,26397.688,6150.0,20210.68640987742,132367.83862684833,0.0
2050-01-07 07:00:00+00:00,0.0,117767.17,24011.272,6150.0,19294.5865154937,128633.85147914109,0.0
2050-01-07 08:00:00+00:00,0.0,117767.17,19674.739,6150.0,15228.216385552387,128363.68797141392,0.0
2050-01-07 09:00:00+00:00,0.0,117767.17,14866.064,5053.5557,14646.136827994776,123040.64819189349,0.0
